Date,CAPE
2021-01-01,0.007182734
2021-01-02,0.008203976
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.1744281
2021-01-06,0.09824347
2021-01-07,0.045751635
2021-01-08,0.28489244
2021-01-09,0.3241762
2021-01-10,0.1861043
2021-01-11,0.14008033
2021-01-12,0.08472903
2021-01-13,0.012118736
2021-01-14,0.0
2021-01-15,0.021888617
2021-01-16,0.07135076
2021-01-17,0.023931101
2021-01-18,0.9688521
2021-01-19,15.8476305
2021-01-20,0.5417007
2021-01-21,0.0
2021-01-22,0.00023828977
2021-01-23,0.0055487473
2021-01-24,0.0066040307
2021-01-25,0.019573802
2021-01-26,0.039947577
2021-01-27,0.021326933
2021-01-28,11.905348
2021-01-29,40.972393
2021-01-30,0.027607571
2021-01-31,0.0
2021-02-01,5.1062092e-05
2021-02-02,0.0
2021-02-03,0.00034041394
2021-02-04,0.0
2021-02-05,28.931627
2021-02-06,75.14311
2021-02-07,7.0382457
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,0.0
2021-02-13,0.0
2021-02-14,0.016918574
2021-02-15,0.080099404
2021-02-16,18.21167
2021-02-17,77.86778
2021-02-18,151.96184
2021-02-19,48.392258
2021-02-20,1.665339
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,3.4041394e-05
2021-02-24,0.17289624
2021-02-25,0.02243328
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.30538535
2021-03-01,0.010791122
2021-03-02,0.026620371
2021-03-03,0.0
2021-03-04,0.101749726
2021-03-05,0.92667484
2021-03-06,0.0012254902
2021-03-07,0.00037445533
2021-03-08,23.25291
2021-03-09,174.32895
2021-03-10,269.60342
2021-03-11,308.73196
2021-03-12,445.20248
2021-03-13,172.47159
2021-03-14,2.6391952
2021-03-15,3.4954045
2021-03-16,0.8266442
2021-03-17,0.120744824
2021-03-18,0.04641544
2021-03-19,5.345588
2021-03-20,30.651041
2021-03-21,10.63443
2021-03-22,4.018553
2021-03-23,13.282033
2021-03-24,41.754154
2021-03-25,0.06791258
2021-03-26,0.97532
2021-03-27,14.3702
2021-03-28,98.025154
2021-03-29,84.22923
2021-03-30,34.412342
2021-03-31,3.3088236
2021-04-01,9.322508
2021-04-02,59.201252
2021-04-03,156.35321
2021-04-04,152.78864
2021-04-05,70.137184
2021-04-06,90.427765
2021-04-07,348.46576
2021-04-08,579.72217
2021-04-09,516.92786
2021-04-10,146.31985
2021-04-11,88.767296
2021-04-12,58.579216
2021-04-13,27.353588
2021-04-14,13.461091
2021-04-15,45.68042
2021-04-16,66.549736
2021-04-17,254.37218
2021-04-18,144.83609
2021-04-19,14.233865
2021-04-20,48.210922
2021-04-21,571.60486
2021-04-22,419.06857
2021-04-23,37.98999
2021-04-24,0.7495915
2021-04-25,35.53571
2021-04-26,24.570807
2021-04-27,25.761301
2021-04-28,300.96777
2021-04-29,802.892
2021-04-30,871.90765
2021-05-01,491.7231
2021-05-02,841.80536
2021-05-03,277.2125
2021-05-04,240.62741
2021-05-05,877.34644
2021-05-06,1020.15906
2021-05-07,1002.461
2021-05-08,903.3565
2021-05-09,1106.3809
2021-05-10,1245.8173
2021-05-11,954.61395
2021-05-12,762.3482
2021-05-13,619.8832
2021-05-14,372.26538
2021-05-15,356.41592
2021-05-16,366.53427
2021-05-17,440.61105
2021-05-18,608.6773
2021-05-19,635.1511
2021-05-20,943.1747
2021-05-21,731.0143
2021-05-22,64.32353
2021-05-23,27.144915
2021-05-24,54.13242
2021-05-25,67.30494
2021-05-26,48.152912
2021-05-27,90.69952
2021-05-28,505.98462
2021-05-29,723.81726
2021-05-30,611.8814
2021-05-31,1178.9462
2021-06-01,1316.6259
2021-06-02,782.3923
2021-06-03,928.0521
2021-06-04,986.63214
2021-06-05,693.5418
2021-06-06,615.41406
2021-06-07,746.0414
2021-06-08,945.329
2021-06-09,683.9435
2021-06-10,848.7343
2021-06-11,419.71042
2021-06-12,172.53296
2021-06-13,192.12976
2021-06-14,269.53467
2021-06-15,285.34518
2021-06-16,237.06563
2021-06-17,166.41425
2021-06-18,164.23322
2021-06-19,228.42671
2021-06-20,257.20963
2021-06-21,527.5842
2021-06-22,541.3953
2021-06-23,331.23013
2021-06-24,470.12186
2021-06-25,527.1502
2021-06-26,583.6551
2021-06-27,957.305
2021-06-28,1275.6732
2021-06-29,1092.7302
2021-06-30,1445.7584
2021-07-01,1427.2463
2021-07-02,976.56213
2021-07-03,876.595
2021-07-04,1355.3295
2021-07-05,1283.8562
2021-07-06,1418.8359
2021-07-07,1489.3246
2021-07-08,541.3384
2021-07-09,447.61356
2021-07-10,489.45752
2021-07-11,415.67
2021-07-12,331.7978
2021-07-13,199.00432
2021-07-14,203.5561
2021-07-15,230.43362
2021-07-16,292.08646
2021-07-17,677.8539
2021-07-18,868.5517
2021-07-19,749.2935
2021-07-20,503.83273
2021-07-21,394.0457
2021-07-22,327.48196
2021-07-23,340.01355
2021-07-24,290.18982
2021-07-25,320.51483
2021-07-26,308.10165
2021-07-27,234.03043
2021-07-28,195.3411
2021-07-29,206.9966
2021-07-30,90.24598
2021-07-31,54.416325
2021-08-01,76.13671
2021-08-02,248.4196
2021-08-03,273.92062
2021-08-04,133.01273
2021-08-05,394.98392
2021-08-06,797.11896
2021-08-07,771.2688
2021-08-08,436.9923
2021-08-09,475.14713
2021-08-10,226.08885
2021-08-11,191.59879
2021-08-12,271.35205
2021-08-13,514.7401
2021-08-14,490.58554
2021-08-15,666.82367
2021-08-16,1008.00635
2021-08-17,698.44586
2021-08-18,508.43356
2021-08-19,366.9332
2021-08-20,442.947
2021-08-21,441.15054
2021-08-22,801.43915
2021-08-23,593.3799
2021-08-24,639.3937
2021-08-25,522.06744
2021-08-26,414.78717
2021-08-27,381.0573
2021-08-28,370.48175
2021-08-29,369.30548
2021-08-30,314.16135
2021-08-31,400.6028
2021-09-01,712.547
2021-09-02,946.6546
2021-09-03,1240.8905
2021-09-04,1055.7261
2021-09-05,962.3746
2021-09-06,561.6087
2021-09-07,107.90189
2021-09-08,456.37152
2021-09-09,676.06354
2021-09-10,713.7106
2021-09-11,403.10593
2021-09-12,563.75946
2021-09-13,175.5768
2021-09-14,194.24347
2021-09-15,267.2521
2021-09-16,442.20126
2021-09-17,331.95996
2021-09-18,574.62164
2021-09-19,573.8998
2021-09-20,487.471
2021-09-21,122.49506
2021-09-22,147.33742
2021-09-23,501.35315
2021-09-24,723.874
2021-09-25,968.7981
2021-09-26,1115.0457
2021-09-27,592.042
2021-09-28,228.79793
2021-09-29,195.65976
2021-09-30,275.8295
2021-10-01,312.30832
2021-10-02,380.45557
2021-10-03,448.74777
2021-10-04,685.75665
2021-10-05,377.6032
2021-10-06,686.03754
2021-10-07,484.5245
2021-10-08,611.03674
2021-10-09,119.11404
2021-10-10,48.929398
2021-10-11,32.79946
2021-10-12,16.33759
2021-10-13,46.622208
2021-10-14,478.15613
2021-10-15,909.93774
2021-10-16,1021.45996
2021-10-17,337.52213
2021-10-18,174.61183
2021-10-19,366.31662
2021-10-20,13.275327
2021-10-21,11.879051
2021-10-22,2.2383237
2021-10-23,1.2311921
2021-10-24,23.481516
2021-10-25,66.24229
2021-10-26,115.59334
2021-10-27,89.56798
2021-10-28,2.1638412
2021-10-29,0.5173611
2021-10-30,2.092082
2021-10-31,1.8884124
2021-11-01,8.098958
2021-11-02,6.147842
2021-11-03,1.2501702
2021-11-04,0.4375
2021-11-05,0.012084695
2021-11-06,0.008748638
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0050381264
2021-11-10,0.0023828975
2021-11-11,0.014910131
2021-11-12,4.7419324
2021-11-13,19.257694
2021-11-14,23.16607
2021-11-15,6.2723484
2021-11-16,0.103213504
2021-11-17,0.00047657953
2021-11-18,0.00023828977
2021-11-19,0.0
2021-11-20,0.57512933
2021-11-21,0.6180215
2021-11-22,1.4483252
2021-11-23,0.8333333
2021-11-24,0.119791664
2021-11-25,0.67126226
2021-11-26,0.7974026
2021-11-27,0.00051062094
2021-11-28,0.0
2021-11-29,0.00030637256
2021-11-30,0.001685049
2021-12-01,0.00074891065
2021-12-02,0.0006808279
2021-12-03,0.0008510349
2021-12-04,0.10157952
2021-12-05,2.8382692
2021-12-06,0.66663265
2021-12-07,1.4492954
2021-12-08,0.10028595
2021-12-09,3.9718137
2021-12-10,17.075912
2021-12-11,8.012459
2021-12-12,4.3277507
2021-12-13,0.023863018
2021-12-14,0.00079997274
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.42436
2021-12-18,0.7404003
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.016714325
